Day,Population,MoveRate,VisionRange,Colors
0,100,20.23,6.78,12-0-0-0|18-0-255-0|15-255-0-0|19-0-0-255|15-255-255-0|21-255-200-0
1,35,22.22,7.11,6-0-255-0|4-0-0-0|9-255-0-0|7-0-0-255|4-255-255-0|5-255-200-0
2,30,23.66,7.33,5-0-255-0|2-0-0-0|10-255-0-0|5-0-0-255|4-255-255-0|4-255-200-0
3,23,24.47,8.65,4-0-255-0|1-0-0-0|8-255-0-0|3-255-255-0|4-255-200-0|3-0-0-255
4,23,24.47,8.56,3-0-255-0|1-0-0-0|10-255-0-0|2-255-255-0|5-0-0-255|2-255-200-0
5,24,24.79,9.29,3-0-255-0|1-0-0-0|12-255-0-0|2-255-255-0|3-0-0-255|3-255-200-0
6,21,25.38,9.57,2-0-255-0|1-0-0-0|14-255-0-0|1-255-255-0|2-0-0-255|1-255-200-0
7,23,26.08,9.6,2-0-255-0|1-0-0-0|16-255-0-0|1-255-255-0|2-0-0-255|1-255-200-0
8,22,25.5,9.68,2-0-255-0|1-0-0-0|16-255-0-0|1-255-255-0|1-255-200-0|1-0-0-255
9,23,25.39,10.08,1-0-255-0|1-0-0-0|17-255-0-0|2-255-255-0|1-255-200-0|1-0-0-255
10,23,25.78,9.82,1-0-255-0|1-0-0-0|16-255-0-0|3-255-200-0|1-0-0-255|1-255-255-0
11,27,25.7,10.18,2-0-255-0|1-0-0-0|18-255-0-0|3-255-200-0|2-0-0-255|1-255-255-0
12,28,26.0,9.96,2-0-255-0|1-0-0-0|19-255-0-0|3-255-200-0|2-0-0-255|1-255-255-0
13,32,26.03,9.96,1-0-0-0|1-0-255-0|23-255-0-0|4-255-200-0|2-0-0-255|1-255-255-0
14,30,25.56,10.13,1-0-0-0|1-0-255-0|23-255-0-0|3-255-200-0|2-255-255-0
15,23,25.0,10.34,2-0-255-0|16-255-0-0|3-255-200-0|2-255-255-0
16,24,25.37,10.33,2-0-255-0|17-255-0-0|3-255-200-0|2-255-255-0
17,22,25.04,10.31,1-0-255-0|17-255-0-0|2-255-255-0|2-255-200-0
18,24,25.12,10.25,20-255-0-0|2-255-255-0|2-255-200-0
19,25,24.96,10.16,22-255-0-0|2-255-255-0|1-255-200-0
20,24,24.75,10.25,21-255-0-0|2-255-255-0|1-255-200-0
21,31,24.96,10.09,29-255-0-0|1-255-200-0|1-255-255-0
22,21,24.76,10.19,19-255-0-0|1-255-200-0|1-255-255-0
23,27,25.18,10.0,25-255-0-0|1-255-200-0|1-255-255-0
